CSDUID,pop2016,instability_CSDUID,deprivation_CSDUID,dependency_CSDUID,ethniccon_CSDUID,instability_q_CSDUID,deprivation_q_CSDUID,dependency_q_CSDUID,ethniccon_q_CSDUID
3501005,13150,-0.45761049,-0.447740012,0.424517648,-0.920535827,2,2,3,2
3501007,1487,,,,,,,,
3501011,13110,-0.53579248,-0.314937257,0.212079607,-0.847356369,2,2,2,3
3501012,46589,0.502325288,1.094100016,0.821430952,-0.546784472,5,5,4,5
3501020,10833,-0.303677395,0.156673697,0.889189851,-0.943816675,3,4,4,2
3501030,11278,-0.361617107,-0.25552528,0.033411911,-0.892563384,3,2,2,3
3501042,6873,-0.546995324,-0.410896584,-0.320175681,-0.927675019,2,2,1,2
3501050,10109,-0.116299065,0.204504661,0.587202317,-0.987174854,4,4,4,2
3502001,3296,-0.367536362,-0.055630804,0.279114537,-1.076772611,3,3,3,1
3502008,10263,0.723705099,1.363866735,1.133813257,-0.802182506,5,5,5,4
3502010,8706,-0.265001196,-0.319021397,0.531855073,-0.923127683,3,2,3,2
3502023,9680,-0.205381465,-0.181035145,0.234124369,-0.901240247,4,2,3,3
3502025,12808,-0.452510984,-0.5047691,-0.58267413,-0.826757233,2,1,1,3
3502036,24512,-0.363342021,-0.482554752,-0.250866335,-0.673611029,3,2,1,4
3502044,3548,-0.039640378,-0.425840908,-0.089258383,-0.791677646,4,2,2,4
3502048,16520,-0.594435998,-0.751085996,-0.620900338,-0.554677915,1,1,1,5
3506008,934243,0.22368974,-0.346879493,-0.327767424,0.199140948,5,2,1,5
3507004,7093,-0.299984814,-0.075945585,0.369642822,-0.91756683,3,3,3,2
3507006,7353,-0.668169743,-0.385283664,0.501379046,-0.841374814,1,2,3,3
3507008,4222,0.550776445,1.025472966,0.99776029,-0.885692167,5,5,4,3
3507014,9854,-0.45436551,-0.329550154,0.463651124,-0.892512408,2,2,3,3
3507015,21346,0.697323049,0.678604018,0.888670862,-0.683189624,5,5,4,4
3507017,2607,-0.493710039,-0.127568075,0.424939448,-0.98025253,2,3,3,2
3507021,9465,-0.455888689,-0.306521828,0.479419025,-0.961081203,2,2,3,2
3507024,5159,0.507054763,0.271154766,0.726014259,-0.781513527,5,4,4,4
3507033,590,0.675756374,-0.222443941,1.720124982,-0.92962067,5,2,5,2
3507040,10326,-0.408142161,-0.23154988,1.073543957,-0.986883946,2,2,5,2
3507042,3013,-0.507089583,-0.164151339,0.412167655,-0.955280137,2,3,3,2
3507052,3067,-0.301035465,-0.316987068,0.587186004,-0.952970898,3,2,4,2
3507065,16451,-0.406098997,-0.635120287,-0.086737996,-0.755517542,2,1,2,4
3509001,3761,-0.473287664,-0.312131851,-0.001730729,-0.816375329,2,2,2,3
3509004,8780,0.599250309,1.219031158,0.784561621,-0.732931935,5,5,4,4
3509010,7773,-0.560348258,-0.42622197,0.465967005,-0.896814234,2,2,3,3
3509015,5665,-0.410166974,-0.575960886,0.916501689,-1.026683314,2,1,4,2
3509021,5930,0.83752702,0.284323141,1.564566942,-0.9413684,5,4,5,2
3509024,7644,-0.693076901,-0.862244254,-0.346798008,-0.789641454,1,1,1,4
3509028,10644,0.047712329,-0.150491552,-0.034800179,-0.623116826,5,3,2,4
3509030,13163,-0.270396766,-0.600716662,0.288233147,-0.842642775,3,1,3,3
3509039,5338,-0.376356619,0.023188733,0.588226674,-1.112490655,3,3,4,1
3510005,1760,-0.433507413,-0.875339542,1.068704901,-1.188253016,2,1,5,1
3510010,123798,0.513781985,-0.075920486,0.128041964,-0.345032024,5,3,2,5
3510020,18646,-0.649416429,-0.644007117,0.092536461,-0.840022681,1,1,2,3
3510035,4373,-0.340665092,0.594493425,1.191926919,-1.069296973,3,5,5,2
3510045,1898,-0.19772091,0.367752331,2.30130963,-1.24023296,4,4,5,1
3511005,16971,-0.216787745,-0.354432047,0.172091211,-0.735742599,3,2,2,4
3511015,15892,-0.057130038,0.082378086,0.739890623,-0.825618436,4,3,4,3
3511030,7702,-0.59700066,-0.254960612,-0.122150905,-0.977251707,1,2,2,2
3511035,2323,-0.39627922,1.278105027,2.064552494,-1.060271886,3,5,5,2
3512001,4297,-0.717823858,-0.249684619,-0.36361422,-0.757749973,1,2,1,4
3512002,1774,-0.056599813,1.415671916,0.327461495,-0.781291267,4,5,3,4
3512004,2524,,,,,,,,
3512005,50716,0.360311258,0.359265922,0.376881971,-0.540033413,5,4,3,5
3512015,43577,-0.12098221,0.073505151,0.303049459,-0.699394535,4,3,3,4
3512020,4882,-0.34582805,0.02989639,0.138603048,-0.805449948,3,3,2,3
3512026,4774,-0.388365957,0.305045396,0.623630325,-0.833167398,3,4,4,3
3512030,6044,-0.18385959,0.471795749,0.93014973,-1.01136686,4,4,4,2
3512036,2078,-0.675054737,0.237176352,0.608161889,-0.870546525,1,4,4,3
3512046,3953,-0.164963537,1.03151343,1.62333081,-0.955194686,4,5,5,2
3512048,586,-0.223053505,1.832479394,1.542350474,-1.199161885,3,5,5,1
3512051,346,-0.201938468,2.061279597,1.342601068,-1.372626088,4,5,5,1
3512054,670,-0.011823747,0.908408246,1.674470274,-1.096632611,5,5,5,1
3512058,1401,-0.219969554,0.657592577,1.27690872,-1.08185261,3,5,5,1
3512061,3881,0.26273458,1.036081207,1.518201395,-0.881265626,5,5,5,3
3512065,864,-0.463040015,0.325449952,1.408711332,-0.981289276,2,4,5,2
3512076,4078,-0.458499306,0.341036854,1.453558197,-1.081615954,2,4,5,1
3513020,24735,-0.189263759,-0.214957782,1.242988284,-1.040569101,4,2,5,2
3514004,11844,-0.249737057,-0.168083192,1.337109714,-0.770275196,3,3,5,4
3514014,6355,-0.333716162,0.023651641,0.37742414,-0.819739957,3,3,3,3
3514019,10942,-0.579794937,-0.535075358,0.218580986,-0.83147346,2,1,2,3
3514020,16753,0.038718715,-0.123921613,0.629282743,-0.838403156,5,3,4,3
3514021,19440,0.328247569,0.038790506,1.283280819,-0.766542703,5,3,5,4
3514024,6869,-0.585385223,-0.388363408,0.15526674,-0.824169271,1,2,2,3
3514027,495,,,,,,,,
3514045,12900,-0.164216625,0.195748751,1.153522827,-0.91946309,4,4,5,2
3515003,4109,-0.315028559,0.131690677,0.382869901,-0.918438003,3,3,3,2
3515005,6670,-0.511970692,-0.556444406,0.315551502,-0.82910995,2,1,3,3
3515008,362,,,,,,,,
3515013,8829,-0.566356872,-0.524483393,0.108367508,-0.66545856,2,1,2,4
3515014,81032,0.494201681,0.327107631,0.437411877,-0.440279804,5,4,3,5
