"Date","Reference"
2021-01-01,0
2021-01-08,13737
2021-01-15,24156
2021-01-22,36353
2021-01-29,48027
2021-02-05,60240
2021-02-12,72363
2021-02-19,84679
2021-02-26,97210
2021-03-05,109902
2021-03-12,122704
2021-03-19,135646
2021-03-26,148621
2021-04-02,161790
2021-04-09,175078
2021-04-16,188377
2021-04-23,202011
2021-04-30,215739
2021-05-07,229752
2021-05-14,244026
2021-05-21,258440
2021-05-28,273076
2021-06-04,287923
2021-06-11,303212
2021-06-18,318617
2021-06-25,334259
2021-07-02,349997
2021-07-09,365805
2021-07-16,381811
2021-07-23,397704
2021-07-30,413968
2021-08-06,430239
2021-08-13,446701
2021-08-20,463514
2021-08-27,480541
2021-09-03,498049
2021-09-10,515766
2021-09-17,533629
2021-09-24,551745
2021-10-01,570019
