"Date","Reference"
2021-01-01,0
2021-01-08,800
2021-01-15,1000
2021-01-22,1700
2021-01-29,2200
2021-02-05,2600
2021-02-12,3000
2021-02-19,3800
2021-02-26,4400
2021-03-05,5000
2021-03-12,5600
2021-03-19,5700
2021-03-26,6300
2021-04-02,6600
2021-04-09,6900
2021-04-16,7400
2021-04-23,8400
2021-04-30,9100
2021-05-07,9300
2021-05-14,10000
2021-05-21,10200
2021-05-28,10400
2021-06-04,10700
2021-06-11,10900
2021-06-18,11300
2021-06-25,11800
2021-07-02,12000
2021-07-09,12300
2021-07-16,12600
2021-07-23,12800
2021-07-30,13000
2021-08-06,13400
2021-08-13,13700
2021-08-20,13800
2021-08-27,13800
2021-09-03,13900
2021-09-10,14500
2021-09-17,14600
2021-09-24,14700
2021-10-01,14700
2021-01-01,0
2021-01-08,800
2021-01-15,1300
2021-01-22,1600
2021-01-29,2000
2021-02-05,2500
2021-02-12,2600
2021-02-19,3000
2021-02-26,3600
2021-03-05,3800
2021-03-12,4100
2021-03-19,4200
2021-03-26,4400
2021-04-02,4900
2021-04-09,5100
2021-04-16,5500
2021-04-23,5900
2021-04-30,6200
2021-05-07,6400
2021-05-14,6600
2021-05-21,6900
2021-05-28,7500
2021-06-04,8100
2021-06-11,8500
2021-06-18,9000
2021-06-25,9100
2021-07-02,9700
2021-07-09,9900
2021-07-16,10300
2021-07-23,10800
2021-07-30,11500
2021-08-06,12400
2021-08-13,12900
2021-08-20,13300
2021-08-27,13900
2021-09-03,14700
2021-09-10,15100
2021-09-17,16200
2021-09-24,17000
2021-10-01,17800
2021-01-01,0
2021-01-08,300
2021-01-15,800
2021-01-22,1400
2021-01-29,1800
2021-02-05,2200
2021-02-12,3000
2021-02-19,3900
2021-02-26,4600
2021-03-05,5600
2021-03-12,6100
2021-03-19,6700
2021-03-26,7100
2021-04-02,7300
2021-04-09,7500
2021-04-16,8100
2021-04-23,9100
2021-04-30,9600
2021-05-07,10300
2021-05-14,10700
2021-05-21,11000
2021-05-28,11800
2021-06-04,12300
2021-06-11,13100
2021-06-18,13400
2021-06-25,13900
2021-07-02,14200
2021-07-09,14500
2021-07-16,14900
2021-07-23,15500
2021-07-30,16300
2021-08-06,16500
2021-08-13,17000
2021-08-20,17300
2021-08-27,17700
2021-09-03,18400
2021-09-10,19100
2021-09-17,19400
2021-09-24,20400
2021-10-01,21100
2021-01-01,0
2021-01-08,500
2021-01-15,800
2021-01-22,1100
2021-01-29,1200
2021-02-05,2000
2021-02-12,2300
2021-02-19,2700
2021-02-26,3000
2021-03-05,3400
2021-03-12,4000
2021-03-19,4800
2021-03-26,5200
2021-04-02,5600
2021-04-09,6200
2021-04-16,6500
2021-04-23,6800
2021-04-30,7200
2021-05-07,7600
2021-05-14,8100
2021-05-21,8500
2021-05-28,9100
2021-06-04,10100
2021-06-11,11000
2021-06-18,12400
2021-06-25,12900
2021-07-02,13700
2021-07-09,14600
2021-07-16,15300
2021-07-23,16400
2021-07-30,16800
2021-08-06,17800
2021-08-13,18500
2021-08-20,19600
2021-08-27,20300
2021-09-03,21300
2021-09-10,22100
2021-09-17,23600
2021-09-24,24900
2021-10-01,25700
2021-01-01,0
2021-01-08,500
2021-01-15,600
2021-01-22,1000
2021-01-29,1600
2021-02-05,2000
2021-02-12,2200
2021-02-19,2300
2021-02-26,2400
2021-03-05,3100
2021-03-12,3600
2021-03-19,4100
2021-03-26,4700
2021-04-02,5000
2021-04-09,5500
2021-04-16,5700
2021-04-23,6300
2021-04-30,6700
2021-05-07,6900
2021-05-14,7400
2021-05-21,7700
2021-05-28,8000
2021-06-04,8600
2021-06-11,8900
2021-06-18,9600
2021-06-25,10000
2021-07-02,10200
2021-07-09,10600
2021-07-16,10800
2021-07-23,11900
2021-07-30,12300
2021-08-06,12800
2021-08-13,13800
2021-08-20,14400
2021-08-27,14600
2021-09-03,15100
2021-09-10,15600
2021-09-17,16000
2021-09-24,16500
2021-10-01,16600
2021-01-01,0
2021-01-08,600
2021-01-15,1000
2021-01-22,2200
2021-01-29,2900
2021-02-05,3400
2021-02-12,3800
2021-02-19,4500
2021-02-26,4700
2021-03-05,5500
2021-03-12,6000
2021-03-19,6400
2021-03-26,6800
2021-04-02,7100
2021-04-09,7800
2021-04-16,8200
2021-04-23,8800
2021-04-30,9300
2021-05-07,9800
2021-05-14,10600
2021-05-21,10700
2021-05-28,11200
2021-06-04,12000
2021-06-11,12700
2021-06-18,13100
2021-06-25,13800
2021-07-02,14300
2021-07-09,15300
2021-07-16,16500
2021-07-23,17200
2021-07-30,17800
2021-08-06,18400
2021-08-13,19300
2021-08-20,19900
2021-08-27,20600
2021-09-03,21700
2021-09-10,22400
2021-09-17,23500
2021-09-24,24300
2021-10-01,25200
2021-01-01,0
2021-01-08,600
2021-01-15,900
2021-01-22,1400
2021-01-29,1600
2021-02-05,1800
2021-02-12,2200
2021-02-19,2600
2021-02-26,3200
2021-03-05,3300
2021-03-12,3400
2021-03-19,3500
2021-03-26,3800
2021-04-02,3900
2021-04-09,4300
2021-04-16,5000
2021-04-23,5500
2021-04-30,5800
2021-05-07,6100
2021-05-14,6300
2021-05-21,6900
2021-05-28,7400
2021-06-04,7700
2021-06-11,8300
2021-06-18,8600
2021-06-25,9000
2021-07-02,9100
2021-07-09,9600
2021-07-16,9800
2021-07-23,10200
2021-07-30,10900
2021-08-06,11000
2021-08-13,11600
2021-08-20,11800
2021-08-27,12100
2021-09-03,12200
2021-09-10,12900
2021-09-17,13000
2021-09-24,13300
2021-10-01,13800
2021-01-01,0
2021-01-08,400
2021-01-15,700
2021-01-22,1200
2021-01-29,1400
2021-02-05,1900
2021-02-12,2400
2021-02-19,2900
2021-02-26,3100
2021-03-05,3100
2021-03-12,3400
2021-03-19,3700
2021-03-26,4100
2021-04-02,5100
2021-04-09,5700
2021-04-16,6400
2021-04-23,7300
2021-04-30,8100
2021-05-07,8300
2021-05-14,8900
2021-05-21,9000
2021-05-28,9500
2021-06-04,10300
2021-06-11,10600
2021-06-18,11300
2021-06-25,12100
2021-07-02,12200
2021-07-09,12800
2021-07-16,13300
2021-07-23,13800
2021-07-30,14900
2021-08-06,15200
2021-08-13,15900
2021-08-20,16600
2021-08-27,17000
2021-09-03,18000
2021-09-10,19600
2021-09-17,20400
2021-09-24,21200
2021-10-01,21900
2021-01-01,0
2021-01-08,600
2021-01-15,700
2021-01-22,800
2021-01-29,1400
2021-02-05,1500
2021-02-12,2000
2021-02-19,2400
2021-02-26,3100
2021-03-05,3300
2021-03-12,4000
2021-03-19,4300
2021-03-26,4500
2021-04-02,5100
2021-04-09,6200
2021-04-16,6800
2021-04-23,7100
2021-04-30,7700
2021-05-07,8500
2021-05-14,8800
2021-05-21,9700
2021-05-28,10700
2021-06-04,11200
2021-06-11,12400
2021-06-18,12500
2021-06-25,13100
2021-07-02,13500
2021-07-09,14100
2021-07-16,14800
2021-07-23,15600
2021-07-30,16200
2021-08-06,16900
2021-08-13,17700
2021-08-20,18300
2021-08-27,19200
2021-09-03,20600
2021-09-10,21800
2021-09-17,22900
2021-09-24,24300
2021-10-01,24800
2021-01-01,0
2021-01-08,500
2021-01-15,900
2021-01-22,1400
2021-01-29,1900
2021-02-05,2300
2021-02-12,2600
2021-02-19,3500
2021-02-26,4300
2021-03-05,5000
2021-03-12,5500
2021-03-19,6100
2021-03-26,6600
2021-04-02,7100
2021-04-09,8300
2021-04-16,8800
2021-04-23,9400
2021-04-30,9700
2021-05-07,10200
2021-05-14,10700
2021-05-21,11100
2021-05-28,11800
2021-06-04,12500
