"Date","Reference"
2021-01-01,0
2021-01-08,13806.1
2021-01-15,24206.2
2021-01-22,36699
2021-01-29,48540.2
2021-02-05,61012.5
2021-02-12,73507.1
2021-02-19,86387.8
2021-02-26,99479.1
2021-03-05,112891.8
2021-03-12,126475.9
2021-03-19,140427.3
2021-03-26,154654.2
2021-04-02,169201
2021-04-09,184036.3
2021-04-16,199226.8
2021-04-23,214752.8
2021-04-30,230666.7
2021-05-07,246897.9
2021-05-14,263512
2021-05-21,280531.5
2021-05-28,297954.3
2021-06-04,315763.3
2021-06-11,333942.5
2021-06-18,352546.4
2021-06-25,371474.3
2021-07-02,390889.2
2021-07-09,410748.9
2021-07-16,431017.1
2021-07-23,451771.9
2021-07-30,472946.9
2021-08-06,494571.7
2021-08-13,516633.2
2021-08-20,539172.1
2021-08-27,562211.7
2021-09-03,585732.4
2021-09-10,609766.1
2021-09-17,634354.3
2021-09-24,659424.7
2021-10-01,685084.9
