"Date","Reference"
2021-01-01,0
2021-01-08,519
2021-01-15,863
2021-01-22,1305
2021-01-29,1697
2021-02-05,2168
2021-02-12,2655
2021-02-19,3103
2021-02-26,3576
2021-03-05,4027
2021-03-12,4479
2021-03-19,5009
2021-03-26,5464
2021-04-02,5971
2021-04-09,6436
2021-04-16,6929
2021-04-23,7426
2021-04-30,7937
2021-05-07,8436
2021-05-14,8948
2021-05-21,9478
2021-05-28,10016
2021-06-04,10525
2021-06-11,11097
2021-06-18,11696
2021-06-25,12318
2021-07-02,12928
2021-07-09,13521
2021-07-16,14125
2021-07-23,14725
2021-07-30,15348
2021-08-06,15930
2021-08-13,16580
2021-08-20,17193
2021-08-27,17816
2021-09-03,18424
2021-09-10,19098
2021-09-17,19782
2021-09-24,20433
2021-10-01,21089
